,Timestamp,Facultad ,Sexo,Edad,Semestre(número),Orientación Sexual,Religión,Estatura(cm),Peso(kg),Cantidad de Parejas Sexuales,Edad Primera Vez,Activo Sexualmente,Frecuencia(Mes),Bachillerato de Origen,Hermanos Edades,Edad Padre,Escolaridad Padre,Edad Madre,Escolaridad Madre,Delegación,Has tenido relaciones con desconocidos,Consumes bebidas alcohólicas,Frecuencia de consumo al mes(número),Consumes marihuana,Frecuencia al mes(número),Hermana Mujer,Hermano Hombre,Hijo Unico,Hermano Menor,Hermano Enmedio,Hermano Mayor
257,2/7/2020 9:01:00,Facultad de Ciencias,Masculino,19,4,Heterosexual,Catolicismo,173.0,63.0,10.0,15.0,Sí,1,Otro,16,55.0,Secundaria,58.0,Maestría,Coyoacán,No,Sí,2,No,0,0,0,0,0,0,1
258,2/7/2020 9:02:35,Facultad de Ciencias,Femenino,22,8,Heterosexual,Cristianismo,168.0,70.0,1.0,19.0,Sí,1,Prepa,"11, 12",45.0,Licenciatura,43.0,Licenciatura,Estado de México,No,No,2,No,0,1,0,0,0,0,1
259,2/7/2020 9:26:00,Facultad de Ciencias,Masculino,20,2,Heterosexual,Agnosticismo,175.0,55.0,5.0,16.0,No,0,Prepa,No,,Licenciatura,41.0,Licenciatura,Estado de México,No,Sí,2,No,0,0,0,1,0,0,0
260,2/7/2020 9:30:10,Facultad de Ciencias,Femenino,19,4,Heterosexual,Ateismo,165.0,50.0,5.0,15.0,Sí,1,Prepa,21,47.0,Carrera Técnica,44.0,Carrera Técnica,Iztapalapa,No,Sí,2,No,0,1,0,0,1,0,0
261,2/7/2020 9:30:14,Facultad de Ciencias,Masculino,20,4,Heterosexual,Agnosticismo,174.0,78.5,1.0,19.0,Sí,1,CCH,"2, 20 y 24",47.0,Bachillerato,51.0,Bachillerato,Estado de México,No,Sí,2,No,0,0,0,0,0,1,0
262,2/7/2020 9:33:54,Facultad de Ciencias,Femenino,23,6,Heterosexual,Catolicismo,158.0,64.0,7.0,18.0,Sí,2,Privada,20,51.0,Carrera Técnica,50.0,Carrera Técnica,Álvaro Obregón,Sí,Sí,1,No,0,1,0,0,0,0,1
263,2/7/2020 9:34:34,Facultad de Ciencias,Femenino,19,2,Heterosexual,Ateismo,157.0,54.0,1.0,17.0,Sí,3,Privada,1,54.0,Licenciatura,54.0,Maestría,Magdalena Contreras,No,Sí,5,No,0,0,1,0,0,0,1
264,2/7/2020 9:49:49,Facultad de Ciencias,Femenino,20,2,Heterosexual,Ateismo,156.0,53.0,3.0,18.0,No,6,Privada,"1 hermano, 22 años ",54.0,Doctorado,54.0,Maestría,Coyoacán,Sí,Sí,4,No,0,1,0,0,0,1,0
265,2/7/2020 15:22:36,Facultad de Arquitectura,Femenino,20,4,Heterosexual,Catolicismo,162.0,70.0,1.0,17.0,No,0,Prepa,14 y 16,46.0,Bachillerato,46.0,Bachillerato,Estado de México,No,Sí,4,No,0,0,0,0,0,0,1
266,2/7/2020 15:23:30,Facultad de Ingeniería,Masculino,22,3,Heterosexual,Ateismo,180.0,65.0,4.0,15.0,Sí,2,Prepa,0,43.0,Secundaria,50.0,Licenciatura,Coyoacán,No,Sí,4,Sí,2,0,0,0,0,0,1
267,2/7/2020 15:24:34,Facultad de Ingeniería,Masculino,18,2,Heterosexual,Catolicismo,187.0,67.0,1.0,17.0,Sí,1,Prepa,22 y3,55.0,Licenciatura,56.0,Licenciatura,Azcapotzalco,No,Sí,2,No,0,1,0,0,0,1,0
